TT	ID	AT	CT	IO_D	WT	RT	TRT
0014	0001	0001	0011	0003	0010	0004	0013
0015	1001	0007	0007	0000	0007	0000	0008
0017	0003	0001	0012	0003	0008	0000	0016
0020	1004	0014	0006	0000	0001	0001	0006
0020	0002	0001	0020	0000	0001	0000	0019
0021	1002	0007	0013	0000	0013	0000	0014
0023	0032	0019	0005	0000	0001	0000	0004
0023	0013	0007	0017	0000	0001	0000	0016
0025	0035	0020	0003	0000	0004	0000	0005
0026	0024	0012	0015	0000	0000	0000	0014
0027	0030	0018	0004	0000	0007	0006	0009
0028	0008	0004	0025	0000	0001	0000	0024
0028	0034	0020	0005	0000	0005	0004	0008
0029	1010	0027	0001	0000	0001	0000	0002
0030	0004	0001	0030	0000	0001	0000	0029
0030	0027	0015	0013	0000	0004	0003	0015
0030	1007	0020	0010	0000	0001	0001	0010
0031	1005	0015	0015	0000	0006	0006	0016
0031	1009	0024	0006	0000	0006	0000	0007
0031	1008	0023	0007	0000	0007	0000	0008
0031	0023	0012	0020	0000	0000	0000	0019
0032	0028	0017	0005	0000	0012	0011	0015
0034	0043	0023	0006	0000	0007	0006	0011
0037	0029	0018	0011	0000	0000	0009	0019
0041	0033	0020	0007	0000	0016	0000	0021
0041	0039	0021	0010	0000	0000	0011	0020
0042	0052	0027	0007	0000	0010	0009	0015
0042	0036	0020	0008	0000	0016	0015	0022
0043	0041	0022	0011	0000	0012	0011	0021
0043	0065	0035	0006	0000	0000	0003	0008
0044	0042	0022	0014	0000	0010	0009	0022
0045	0040	0022	0015	0000	0010	0009	0023
0046	1014	0043	0002	0000	0002	0000	0003
0047	0015	0008	0040	0000	0001	0000	0039
0047	0046	0026	0007	0000	0016	0000	0021
0049	0012	0006	0044	0000	0001	0000	0043
0049	0074	0041	0007	0000	0003	0002	0008
0051	0073	0041	0008	0000	0004	0003	0010
0051	0051	0027	0009	0000	0017	0016	0024
0052	0037	0020	0009	0000	0025	0006	0032
0052	0045	0025	0009	0000	0000	0019	0027
0053	0061	0032	0009	0000	0014	0013	0021
0053	0055	0029	0006	0000	0020	0019	0024
0053	0066	0036	0012	0000	0000	0006	0017
0054	1017	0048	0005	0000	0005	0000	0006
0054	0078	0043	0005	0000	0008	0007	0011
0054	0016	0008	0047	0000	0001	0000	0046
0055	0047	0026	0008	0000	0023	0000	0029
0058	0082	0046	0007	0000	0007	0006	0012
0058	0050	0026	0005	0000	0000	0028	0032
0059	1006	0017	0042	0000	0001	0001	0042
0059	0010	0005	0055	0000	0001	0000	0054
0060	0071	0040	0006	0000	0016	0015	0020
0060	0063	0034	0007	0000	0021	0020	0026
0061	0086	0048	0010	0000	0005	0004	0013
0061	0096	0055	0007	0000	0001	0000	0006
0061	0081	0045	0009	0000	0000	0008	0016
0064	0018	0010	0055	0000	0001	0000	0054
0065	0011	0006	0060	0000	0001	0000	0059
0065	0099	0057	0005	0000	0005	0004	0008
0065	0059	0031	0014	0000	0022	0021	0034
0065	0090	0052	0007	0000	0008	0007	0013
0066	0025	0013	0010	0000	0045	0000	0053
0066	0097	0055	0005	0000	0008	0007	0011
0068	0089	0051	0008	0000	0011	0000	0017
0068	0070	0039	0007	0000	0000	0023	0029
0069	0072	0040	0008	0000	0023	0022	0029
0070	0069	0038	0010	0000	0024	0023	0032
0071	0095	0055	0006	0000	0012	0011	0016
0072	0049	0026	0011	0000	0037	0030	0046
0073	0088	0050	0009	0000	0016	0015	0023
0074	0091	0052	0006	0000	0000	0017	0022
0075	0087	0049	0010	0000	0018	0017	0026
0076	0068	0037	0009	0000	0032	0007	0039
0077	0084	0047	0008	0000	0024	0023	0030
0077	0006	0003	0075	0000	0001	0000	0074
0078	1011	0028	0049	0000	0009	0009	0050
0078	1012	0029	0048	0000	0028	0017	0049
0078	1019	0058	0027	0000	0019	0000	0020
0078	1015	0046	0047	0000	0014	0014	0032
0079	0080	0044	0008	0000	0008	0028	0035
0081	0079	0044	0007	0000	0032	0009	0037
0081	0093	0053	0007	0000	0000	0022	0028
0082	0083	0046	0012	0000	0026	0025	0036
0082	0060	0031	0016	0000	0037	0036	0051
0082	0053	0028	0009	0000	0010	0046	0054
0083	0056	0029	0011	0000	0045	0000	0054
0085	0064	0034	0008	0000	0045	0044	0051
0086	0022	0012	0075	0000	0001	0000	0074
0087	0057	0030	0012	0000	0047	0046	0057
0088	0092	0052	0005	0000	0033	0010	0036
0089	0054	0028	0008	0000	0000	0054	0061
0089	0067	0036	0017	0000	0039	0000	0053
0089	0085	0047	0007	0000	0037	0000	0042
0091	0094	0054	0008	0000	0031	0023	0037
0092	0075	0042	0010	0000	0042	0041	0050
0092	0076	0043	0012	0000	0039	0000	0049
0092	0077	0043	0013	0000	0038	0037	0049
0092	0062	0033	0010	0000	0052	0040	0059
0093	0007	0004	0090	0000	0001	0000	0089
0094	1016	0047	0067	0000	0046	0000	0047
0094	1013	0035	0079	0000	0025	0025	0059
0094	1003	0007	0086	0000	0022	0022	0087
0094	1020	0070	0068	0000	0023	0000	0024
0094	1000	0005	0088	0000	0056	0056	0089
0095	0020	0010	0065	0000	0023	0072	0085
0096	0026	0014	0015	0017	0168	0000	0082
0106	0098	0056	0030	0000	0020	0030	0050
