TT	ID	AT	CT	IO_D	WT	RT	TRT
0112	0100	0057	0030	0000	0027	0026	0055
0124	0038	0021	0007	0017	0178	0010	0103
0127	0017	0009	0050	0012	0127	0000	0118
0131	1018	0056	0054	0000	0022	0022	0075
0131	1024	0114	0017	0000	0001	0001	0017
0132	1021	0078	0053	0000	0011	0001	0054
0132	1022	0082	0049	0000	0013	0016	0050
0132	1025	0119	0012	0000	0012	0000	0013
0133	1023	0110	0023	0000	0001	0001	0023
0134	1026	0123	0010	0000	0009	0009	0011
0143	0048	0026	0010	0009	0087	0113	0117
0145	0031	0018	0022	0007	0078	0013	0127
0200	0058	0030	0013	0018	0148	0167	0170
0229	1027	0179	0050	0000	0002	0003	0050
0231	1028	0216	0010	0000	0006	0006	0015
0279	0005	0002	0035	0044	0292	0255	0277
0280	1030	0270	0009	0000	0009	0000	0010
0292	0044	0024	0008	0055	0348	0137	0268
0304	1029	0241	0050	0000	0014	0039	0063
0305	1032	0287	0017	0000	0014	0000	0018
0305	1031	0285	0019	0000	0007	0000	0020
0319	0014	0007	0025	0034	0233	0209	0312
0338	0009	0005	0039	0034	0174	0329	0333

Processes: 131
avg WT = 26		avg RT = 19		avg TRT = 42
Migaration  %: 		RTF = 5%		maxW = 1%
Work Steal %: 11%
Forked Process %: 25%
Killed Process %: 18%
Befor Deadline %: 64%

Processors: 22	[8 FCFS ,9 SJF ,3 RR ,2 EDF ]

Processor Load: 
P1 = 4%	P2 = 1%	P3 = 1%	P4 = 2%	P5 = 2%	
P6 = 1%	P7 = 3%	P8 = 2%	P9 = 2%	P10 = 1%	
P11 = 2%	P12 = 1%	P13 = 1%	P14 = 1%	P15 = 1%	
P16 = 1%	P17 = 1%	P18 = 1%	P19 = 1%	P20 = 1%	
P21 = 0%	P22 = 1%	

Processor Util: 
P1 = 60%	P2 = 98%	P3 = 98%	P4 = 73%	P5 = 83%	
P6 = 95%	P7 = 69%	P8 = 95%	P9 = 93%	P10 = 93%	
P11 = 39%	P12 = 51%	P13 = 88%	P14 = 35%	P15 = 25%	
P16 = 89%	P17 = 22%	P18 = 27%	P19 = 85%	P20 = 40%	
P21 = 81%	P22 = 47%	
Average Utilization = 67%
