TT	ID	AT	CT	IO_D	WT	RT	TRT
0232	0046	0026	0007	0015	0058	0004	0206
0242	0019	0010	0060	0025	0203	0178	0232
0242	1039	0212	0030	0000	0001	0001	0030
0243	1040	0213	0029	0000	0029	0000	0030
0243	1041	0216	0026	0000	0026	0000	0027

Processes: 137
avg WT = 24		avg RT = 22		avg TRT = 42
Migaration  %: 		RTF = 0%		maxW = 2%
Work Steal %: 16%
Forked Process %: 30%
Killed Process %: 27%
Befor Deadline %: 50%

No. OverHeated %: 1

Processors: 16	[5 FCFS ,4 SJF ,3 RR ,4 EDF ]

Processor Load: 
P1 = 1%	P2 = 1%	P3 = 3%	P4 = 3%	P5 = 1%	
P6 = 2%	P7 = 1%	P8 = 1%	P9 = 2%	P10 = 0%	
P11 = 1%	P12 = 2%	P13 = 2%	P14 = 2%	P15 = 0%	
P16 = 1%	

Processor Util: 
P1 = 99%	P2 = 98%	P3 = 95%	P4 = 80%	P5 = 98%	
P6 = 82%	P7 = 93%	P8 = 92%	P9 = 67%	P10 = 90%	
P11 = 91%	P12 = 86%	P13 = 77%	P14 = 80%	P15 = 82%	
P16 = 89%	
Average Utilization = 87%
