TT	ID	AT	CT	IO_D	WT	RT	TRT
0010	0001	0001	0010	0000	0001	0000	0009
0012	0003	0001	0012	0000	0001	0000	0011
0020	0002	0001	0020	0000	0001	0000	0019
0021	1042	0007	0013	0000	0004	0004	0014
0021	0028	0017	0005	0000	0001	0000	0004
0021	0030	0018	0004	0000	0000	0000	0003
0021	1044	0012	0011	0000	0008	0000	0009
0021	1046	0015	0008	0000	0005	0005	0006
0021	1048	0017	0003	0000	0003	0000	0004
0022	0025	0013	0010	0000	0001	0000	0009
0023	0013	0007	0017	0000	0001	0000	0016
0023	0035	0020	0003	0000	0001	0000	0003
0026	0024	0012	0015	0000	0000	0000	0014
0026	0032	0019	0005	0000	0000	0003	0007
0028	0026	0014	0015	0000	0000	0000	0014
0029	0033	0020	0007	0000	0004	0003	0009
0033	0050	0026	0005	0000	0004	0003	0007
0034	0036	0020	0008	0000	0000	0007	0014
0035	0038	0021	0007	0000	0000	0008	0014
0035	0037	0020	0009	0000	0000	0007	0015
0039	0031	0018	0022	0000	0000	0000	0021
0040	0056	0029	0011	0000	0002	0001	0011
0041	0012	0007	0035	0000	0001	0000	0034
0041	0043	0023	0006	0000	0000	0013	0018
0042	1052	0022	0019	0000	0019	0000	0020
0042	1049	0017	0024	0000	0005	0005	0025
0042	1054	0032	0013	0000	0009	0000	0010
0043	0005	0002	0035	0005	0032	0001	0041
0043	0048	0026	0010	0000	0007	0008	0017
0043	0023	0012	0020	0000	0013	0000	0031
0045	0047	0026	0008	0000	0000	0012	0019
0046	0065	0035	0006	0000	0005	0006	0011
0047	0044	0024	0008	0000	0000	0016	0023
0049	0029	0018	0011	0000	0022	0006	0031
0050	0074	0041	0007	0000	0004	0003	0009
0051	1047	0016	0031	0000	0005	0005	0035
0051	0054	0028	0008	0000	0000	0016	0023
0052	1053	0023	0028	0000	0028	0000	0029
0052	1058	0044	0030	0000	0007	0000	0008
0052	1050	0022	0033	0000	0020	0020	0030
0052	0016	0008	0045	0000	0001	0000	0044
0053	0079	0044	0007	0000	0004	0003	0009
0055	1045	0012	0035	0000	0009	0009	0043
0055	0055	0029	0006	0000	0022	0000	0026
0055	0052	0027	0007	0000	0023	0017	0028
0056	0084	0047	0008	0000	0003	0002	0009
0056	0004	0002	0018	0007	0054	0005	0054
0056	0051	0027	0009	0000	0000	0021	0029
0057	0082	0046	0007	0000	0006	0005	0011
0058	0017	0009	0050	0000	0001	0000	0049
0059	1056	0039	0019	0000	0019	0000	0020
0059	1062	0057	0011	0000	0001	0000	0002
0059	1057	0041	0017	0000	0011	0011	0018
0059	1060	0052	0016	0000	0006	0000	0007
0059	0090	0052	0007	0000	0002	0001	0007
