TT	ID	AT	CT	IO_D	WT	RT	TRT
0061	0072	0040	0008	0000	0015	0014	0021
0061	0092	0052	0005	0000	0006	0005	0009
0061	0062	0033	0010	0000	0000	0019	0028
0063	0042	0022	0014	0000	0000	0035	0041
0065	0086	0048	0010	0000	0009	0008	0017
0065	0093	0053	0007	0000	0007	0006	0012
0066	1066	0064	0001	0000	0001	0000	0002
0066	1063	0062	0003	0000	0003	0000	0004
0066	1065	0063	0002	0000	0002	0000	0003
0067	0081	0045	0009	0000	0015	0014	0022
0067	0040	0022	0015	0000	0032	0034	0045
0068	1067	0066	0001	0000	0001	0000	0002
0069	0089	0051	0008	0000	0012	0011	0018
0069	0077	0043	0013	0000	0015	0000	0026
0070	0045	0025	0009	0000	0038	0000	0045
0072	0058	0030	0013	0000	0031	0030	0042
0072	0053	0028	0009	0000	0000	0036	0044
0073	0095	0055	0006	0000	0014	0013	0018
0073	0057	0030	0012	0000	0032	0000	0043
0073	0049	0026	0011	0000	0037	0037	0047
0074	0039	0021	0010	0000	0044	0035	0053
0074	0063	0034	0007	0000	0000	0040	0040
0075	0080	0044	0008	0000	0003	0024	0031
0076	0068	0037	0009	0000	0000	0036	0039
0077	0006	0003	0075	0000	0001	0000	0074
0078	1061	0056	0045	0000	0010	0010	0022
0078	1059	0052	0049	0000	0014	0014	0026
0078	1055	0036	0050	0000	0016	0016	0042
0078	1064	0062	0043	0000	0015	0000	0016
0078	1051	0022	0064	0000	0020	0020	0056
0078	1043	0011	0066	0000	0035	0010	0067
0078	1068	0067	0010	0000	0010	0000	0011
0078	0088	0050	0009	0000	0021	0020	0028
0078	0078	0043	0005	0000	0032	0000	0035
0078	0071	0040	0006	0000	0000	0037	0038
0081	0094	0054	0008	0000	0014	0004	0027
0083	0064	0034	0008	0000	0008	0042	0049
0084	0061	0032	0009	0000	0045	0000	0052
0086	0073	0041	0008	0000	0000	0038	0045
0086	0066	0036	0012	0000	0000	0039	0050
0088	0085	0047	0007	0000	0036	0032	0041
0089	0067	0036	0017	0000	0036	0037	0053
0090	0069	0038	0010	0000	0044	0033	0052
0093	0070	0039	0007	0000	0000	0048	0054
0094	0087	0049	0010	0000	0037	0036	0045
0099	0022	0012	0075	0000	0015	0062	0087
0099	1070	0081	0018	0000	0001	0001	0018
0099	1069	0077	0022	0000	0001	0001	0022
0100	1073	0086	0013	0000	0013	0000	0014
0100	1075	0089	0010	0000	0010	0000	0011
0100	1071	0082	0017	0000	0017	0000	0018
0102	0008	0004	0025	0010	0165	0077	0098
0103	1078	0096	0006	0000	0004	0004	0007
0103	1079	0097	0005	0000	0005	0000	0006
0105	0076	0043	0012	0000	0000	0051	0062
0107	0020	0010	0065	0000	0034	0060	0097
0109	0014	0007	0025	0010	0153	0082	0102
0110	0060	0031	0016	0000	0065	0064	0079
0129	0011	0006	0060	0006	0094	0000	0123
0138	0010	0005	0055	0005	0084	0103	0133
0147	1072	0084	0063	0000	0001	0001	0063
0148	1082	0106	0052	0000	0041	0000	0042
0148	1080	0100	0056	0000	0003	0003	0048
0148	1081	0104	0050	0000	0043	0000	0044
0148	1076	0090	0057	0000	0038	0010	0058
0148	1074	0087	0060	0000	0016	0016	0061
0148	1077	0092	0055	0000	0008	0008	0056
0151	0007	0004	0090	0009	0130	0070	0147
0152	0015	0008	0040	0010	0111	0131	0144
0157	0027	0015	0013	0013	0126	0138	0142
0157	0041	0022	0011	0011	0089	0127	0135
0157	1083	0149	0008	0000	0001	0001	0008
0158	1084	0153	0004	0000	0004	0000	0005
0158	1085	0156	0001	0000	0001	0000	0002
0163	0021	0011	0070	0007	0088	0137	0152
0170	0018	0010	0055	0010	0134	0100	0160
0178	0059	0031	0014	0012	0083	0137	0147
0187	0091	0052	0012	0014	0096	0010	0135
0189	0009	0005	0039	0022	0194	0160	0184
0189	1086	0158	0031	0000	0001	0001	0031
0190	1089	0168	0021	0000	0021	0000	0022
0190	1088	0167	0022	0000	0022	0000	0023
0190	1087	0159	0030	0000	0001	0001	0031
0209	0075	0042	0010	0008	0032	0161	0167
0249	0019	0010	0060	0025	0202	0202	0239
0249	1090	0197	0052	0000	0001	0001	0052
0250	1091	0198	0051	0000	0021	0000	0052
0250	1092	0199	0050	0000	0041	0000	0051
0251	0046	0026	0007	0015	0061	0224	0225
0259	0083	0046	0012	0013	0039	0206	0213
0259	0034	0020	0020	0016	0099	0231	0239
0260	1093	0253	0006	0000	0006	0000	0007

Processes: 284
avg WT = 24		avg RT = 23		avg TRT = 43
Migaration  %: 		RTF = 0%		maxW = 1%
Work Steal %: 18%
Forked Process %: 33%
Killed Process %: 28%
Befor Deadline %: 49%

No. OverHeated %: 0

Processors: 16	[5 FCFS ,4 SJF ,3 RR ,4 EDF ]

Processor Load: 
P1 = 0%	P2 = 0%	P3 = 3%	P4 = 2%	P5 = 0%	
P6 = 1%	P7 = 0%	P8 = 0%	P9 = 2%	P10 = 0%	
P11 = 0%	P12 = 1%	P13 = 1%	P14 = 1%	P15 = 0%	
P16 = 0%	P17 = 1%	P18 = 2%	P19 = 1%	P20 = 0%	
P21 = 0%	P22 = 0%	P23 = 0%	P24 = 0%	P25 = 0%	
P26 = 0%	P27 = 0%	P28 = 0%	P29 = 0%	P30 = 0%	
P31 = 0%	P32 = 1%	

Processor Util: 
P1 = 99%	P2 = 98%	P3 = 94%	P4 = 83%	P5 = 98%	
P6 = 82%	P7 = 93%	P8 = 92%	P9 = 76%	P10 = 90%	
P11 = 91%	P12 = 86%	P13 = 77%	P14 = 80%	P15 = 82%	
P16 = 89%	P17 = 94%	P18 = 94%	P19 = 94%	P20 = 96%	
P21 = 93%	P22 = 92%	P23 = 94%	P24 = 86%	P25 = 93%	
P26 = 90%	P27 = 89%	P28 = 92%	P29 = 82%	P30 = 78%	
P31 = 81%	P32 = 75%	
Average Utilization = 91%
